#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
SLC38A4	SLC38A4	31	34546.43	35157.91	28869.3
SLC38A6	SLC38A6	3	137.12	137.7	112.85
SLC38A7	SLC38A7	2	88.95	84.5	61.06
SLC38A9	SLC38A9	4	108.53	123.03	122.04
SLC39A1	SLC39A1	4	322.8	352.36	344.11
SLC39A10	SLC39A10	1	29.27	35.84	33.83
SLC39A11	SLC39A11	6	427.65	490.11	348.66
SLC39A13	SLC39A13	2	67.11	49.87	47.34
SLC39A14	SLC39A14	17	4678.27	4204.83	4523.63
SLC39A3	SLC39A3	1	17.44	12.08	20.74
SLC39A4	SLC39A4	1	108.72	59.42	156.2
SLC39A5	SLC39A5	7	370.14	339.06	275.01
SLC39A6	SLC39A6	2	69.37	69.34	60.74
SLC39A7	SLC39A7	3	434.82	448.32	523.04
SLC39A8	SLC39A8	4	384.04	394.89	346.93
SLC39A9	SLC39A9	2	564.31	587.21	547.94
SLC3A1	SLC3A1	1	64.29	94.61	180.6
SLC3A2	SLC3A2	4	322.69	315.96	296.19
SLC40A1	SLC40A1	6	4078.75	4280.09	3530.71
SLC41A1	SLC41A1	2	93.76	84.17	59.05
SLC41A2	SLC41A2	4	2043.96	2317.06	1847.17
SLC41A3	SLC41A3	9	661.24	619.3	201.35
SLC43A1	SLC43A1	4	348.88	305.69	119.99
SLC43A2	SLC43A2	3	103.92	85.73	55.46
SLC43A3	SLC43A3	5	292.33	220.93	250.47
SLC44A1	SLC44A1	4	369.65	345.76	351.03
SLC44A2	SLC44A2	1	149.96	85.18	47.34
SLC44A3	SLC44A3	1	21.41	28.07	13.47
SLC45A4	SLC45A4	1	47.28	46.33	29.38
SLC46A1	SLC46A1	1	171.12	174.17	173.31
SLC46A2	SLC46A2	1	33.3	36.36	26.19
SLC46A3	SLC46A3	1	290.57	309.93	306.71
SLC48A1	SLC48A1	1	83.02	82.25	52.25
SLC49A3	SLC49A3	4	76.61	67.83	66.74
SLC4A1AP	SLC4A1AP	5	268.17	264.46	253.89
SLC4A2	SLC4A2	3	261.16	218.67	202.94
SLC4A4	SLC4A4	4	874.68	942.72	568.55
SLC4A5	SLC4A5	1	123.34	77.18	9.45
SLC4A7	SLC4A7	3	125.84	132.99	103.92
SLC4A8	SLC4A8	1	12.97	13.71	16.58
SLC50A1	SLC50A1	2	76.24	83.17	94.25
SLC51B	SLC51B	1	38.01	33.57	43.98
SLC5A1	SLC5A1	1	27.9	26.99	25.2
SLC5A3	SLC5A3	1	438.85	504.62	1446.94
