#Gene	Name/Description	Isoforms	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
TEAD1	TEAD1	5	2337.54	2155.83	2130.83
TEAD2	TEAD2	4	142.43	190.11	128.15
TEAD3	TEAD3	1	68.95	79.0	89.3
TEAD4	TEAD4	5	2593.77	2319.74	3148.91
TECPR1	TECPR1	1	70.03	86.42	57.93
TECPR2	TECPR2	1	73.48	70.42	68.18
TECR	TECR	2	906.36	953.27	960.66
TECRL	TECRL	2	392.41	1021.12	426.62
TECTB	TECTB	1	4.87	21.07	19.94
TEF	TEF	5	884.58	789.55	949.17
TEFM	TEFM	1	188.95	241.51	134.04
TEK	TEK	4	440.0	336.65	309.4
TELO2	TELO2	1	36.92	26.81	27.88
TEN1	TEN1	3	278.8	306.95	175.78
TENM1	TENM1	1	24.04	22.03	14.27
TENM3	TENM3	1	207.8	157.35	173.8
TENM4	TENM4	1	25.01	19.28	24.81
TENT2	TENT2	1	80.04	78.57	86.29
TENT4A	TENT4A	1	177.44	153.71	196.47
TENT4B	TENT4B	2	294.79	281.39	182.18
TENT5A	TENT5A	1	70.03	47.21	91.74
TENT5B	TENT5B	1	37.09	32.02	20.46
TENT5C	TENT5C	1	63.05	64.05	66.81
TEP1	TEP1	2	100.0	97.33	138.8
TEPSIN	TEPSIN	2	33.76	36.55	27.55
TERF1	TERF1	1	76.26	83.13	80.39
TERF2	TERF2	2	110.4	116.8	165.72
TERF2IP	TERF2IP	1	406.29	451.21	455.77
TES	TES	1	114.52	95.47	109.95
TESK1	TESK1	1	82.25	71.57	120.15
TESK2	TESK2	1	35.83	25.04	26.47
TET1	TET1	1	38.77	14.12	37.68
TET2	TET2	1	160.32	128.19	168.61
TET3	TET3	1	20.13	11.05	20.32
TEX10	TEX10	1	30.6	21.14	23.99
TEX2	TEX2	12	2684.78	3034.11	2779.66
TEX261	TEX261	4	275.56	288.96	302.21
TEX264	TEX264	2	186.93	205.28	196.45
