#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
FAM135A	FAM135A	Not DIU	0.28631	NO		298.89	306.33	367.5
FAM13A	FAM13A	DIU	0.003272	NO		5174.1	6546.87	2772.56
FAM13B	FAM13B	DIU	0.039536	YES	1	705.68	753.83	633.93
FAM13C	FAM13C	Not DIU	0.50434	YES	2,3	215.57	182.18	150.68
FAM149A	FAM149A	Not DIU	0.26838	NO		219.58	162.8	131.37
FAM149B1	FAM149B1	DIU	0.003311	YES	1	604.97	601.28	771.27
FAM151B	FAM151B	Not DIU	0.35462	NO		136.64	126.38	123.99
FAM160A1	FAM160A1	Not DIU	0.76342	NO		92.76	137.73	140.67
FAM160A2	FAM160A2	Not DIU	0.33031	NO		198.03	246.41	352.08
FAM161A	FAM161A	Not DIU	0.52978	YES	1,2	75.3	88.78	85.42
FAM162A	FAM162A	DIU	5.4801E-10	NO		603.84	455.83	323.19
FAM168A	FAM168A	Not DIU	0.21255	NO		1064.22	963.81	973.7
FAM168B	FAM168B	Not DIU	0.98175	NO		1195.31	1185.8	1336.17
FAM171A1	FAM171A1	DIU	0.021813	YES	1,2	612.15	714.59	790.44
FAM172A	FAM172A	DIU	0.034964	YES	1	1176.15	1182.33	1149.51
FAM173B	FAM173B	DIU	0.0069054	NO		140.06	110.35	96.14
FAM174A	FAM174A	Not DIU	0.88832	NO		91.51	89.63	106.96
FAM177A1	FAM177A1	Not DIU	0.92584	NO		252.18	354.61	303.16
FAM180B	FAM180B	DIU	0.019559	NO		200.73	319.52	166.98
FAM181A	FAM181A	Not DIU	0.63398	YES	1	16.07	79.73	67.23
FAM184A	FAM184A	Not DIU	0.62183	NO		135.72	179.36	198.64
FAM185A	FAM185A	DIU	0.012131	NO		80.59	92.44	89.15
FAM186B	FAM186B	DIU	0.0025171	YES	1	35.48	91.68	176.19
FAM192A	FAM192A	Not DIU	0.69064	YES	2,3	367.64	348.79	321.46
FAM193A	FAM193A	Not DIU	0.83223	NO		326.22	302.85	380.48
FAM193B	FAM193B	Not DIU	0.3824	NO		207.06	259.82	316.97
FAM198A	FAM198A	Not DIU	0.74041	NO		219.16	273.5	250.63
FAM204A	FAM204A	DIU	7.5738E-5	NO		569.85	592.06	505.7
FAM206A	FAM206A	Not DIU	0.058206	YES	3	77.71	69.77	51.95
FAM207A	FAM207A	DIU	4.3781E-6	NO		155.45	143.56	186.98
FAM208A	FAM208A	Not DIU	0.79491	NO		1088.3	1178.44	1072.6
