clusters.cut
LOC113264194	2
LOC113264269	8
LOC113264270	2
LOC113264283	2
LOC113264284	2
LOC113265126	5
LOC113265160	2
LOC113265304	2
LOC113265397	9
LOC113265403	8
LOC113265479	8
LOC113265494	8
LOC113265643	8
LOC113265899	1
LOC113266110	2
LOC113266127	8
LOC113266220	2
LOC113266361	6
LOC113266504	8
LOC113267262	2
LOC113267373	2
LOC113267549	7
LOC113267572	2
LOC113267642	4
LOC113267880	8
LOC113267896	2
LOC113268153	8
LOC113268387	2
LOC113268431	2
LOC113268490	2
LOC113268528	7
LOC113268671	9
LOC113268718	7
LOC113269289	2
LOC113269396	2
LOC113269397	2
LOC113269882	2
LOC113270188	3
LOC113270305	7
LOC113270440	8
LOC113270471	3
LOC113270541	8
LOC113270720	3
LOC113270721	6
LOC113270754	7
LOC113270765	3
LOC113271199	8
LOC113271271	8
LONP2	9
LOXL3	9
LPAR1	7
LPAR4	2
LPL	4
LRP11	8
LRPPRC	6
LRRC17	9
LRRC32	3
LRRC3C	2
LRRC8D	9
LRRK2	6
LSS	7
LVRN	1
MACROD1	8
MADD	3
MAFK	3
MAN1A1	1
MAN2B1	6
MAP1LC3A	9
MAP4K3	6
MAPK1	7
MAPRE3	3
MARC1	5
MARCKS	1
MBOAT7	3
MCCC1	7
MCCC2	9
MCRIP2	8
MCU	8
MDC1	3
MDH1	5
MDH2	9
ME1	5
MECR	9
MED11	8
MEF2A	6
MESD	9
METAP2	7
METTL15	8
METTL7B	2
METTL9	7
MFSD8	9
MGST1	1
MICU2	9
MIEF1	5
MIS18A	2
MKI67	8
MKKS	9
MKNK2	7
MLLT6	3
MLX	8
MLXIPL	9
MMAB	8
MME	9
MMP15	8
MMP23B	8
MPC1	1
MPC2	7
MPDU1	8
MPHOSPH8	3
MPND	8
MPST	9
MRAS	1
MRPL12	9
MRPL16	9
MRPL18	9
MRPL19	8
MRPL2	8
MRPL20	9
MRPL21	8
MRPL24	8
MRPL27	8
MRPL3	9
MRPL34	8
MRPL40	8
MRPL45	9
MRPL47	8
MRPL48	9
MRPL49	8
MRPL57	9
MRPL58	8
MRPS11	8
MRPS12	8
MRPS28	8
MRPS30	8
MRPS36	9
MRRF	8
MSH3	9
MSRA	6
MSRB1	7
MTCH2	7
MTIF2	9
MTUS1	6
MTX1	8
MUT	9
MVD	9
MVK	8
MYCBP2	4
MYLK3	3
MYO19	3
MYO1A	2
MYORG	7
MYSM1	6
NAA10	9
NADK	1
NAGK	1
NARF	3
NAT8L	7
NBEA	3
NCLN	9
NCOA3	6
NCOA4	5
NCOR1	6
ND3	5
ND4	4
ND4L	1
NDUFA11	9
NDUFA12	9
NDUFA13	7
NDUFA2	9
NDUFA4	6
NDUFA8	9
NDUFA9	9
NDUFAB1	9
NDUFAF1	8
NDUFAF4	8
NDUFB10	9
NDUFB11	9
NDUFB2	9
NDUFB3	9
NDUFB5	9
NDUFB8	9
NDUFB9	7
NDUFC1	8
NDUFS1	7
NDUFS2	7
NDUFS3	9
NDUFS4	9
NDUFS7	9
NDUFV1	9
NDUFV2	9
NEDD9	6
NFE2L2	7
NHLRC2	7
NIPSNAP2	7
NME4	9
NMT1	9
NODAL	8
NOL9	3
NONO	6
NOSIP	8
NPTN	7
NPY2R	7
NQO1	7
NR1D2	7
NRP2	5
NT5E	7
NTSR2	2
NUDC	3
NUDT12	8
NUDT16	8
OGDH	6
OMD	7
OPA3	8
ORAI1	9
OSTM1	9
OXCT1	1
OXSM	8
OXSR1	9
P4HB	1
PABPC1	5
PACSIN3	3
PAIP2	9
PALMD	1
PAM	1
PAN3	6
PARD3B	6
PARK7	7
PAXBP1	3
PCBD2	8
PCCB	7
PCGF5	6
PCTP	9
PCYOX1	7
PCYT2	9
PDCD6	9
PDCL	8
PDHA1_LOC113242247	1
PDHB	7
PDP2	7
PDZD2	1
PEBP1	1
PELI2	9
PELI3	2
PEPD	7
PEX13	8
PEX19	7
PEX2	9
PFKFB1	7
PGAM1	1
PGD	7
PGM1	7
PHF1	3
PHLDB2	6
PICALM	5
PIGK	9
PIK3C2B	3
PIK3R1	1
PIN1	8
PITHD1	6
PKD1L2	2
PKD2	7
PLA2G15	7
PLA2G16	1
PLA2R1	7
PLIN2	1
PLOD1	9
PLPP6	8
PM20D1	8
PMM1	9
PMPCB	7
PNP	5
PNRC2	6
POLE4	8
POLH	3
POLR1C	8
POLR1D	8
POLR2M	9
POLR3K	9
PON2	1
POP5	8
PPA1	7
PPA2	9
PPARG	1
PPIA	6
PPIC	9
PPP1CA	9
PPP1R13L	2
PPP1R26	3
PPP1R3G	2
PPP2R5A	1
PPP2R5C	6
PPP2R5D	9
PPT1	9
PRDX1	6
PRDX3	7
PRDX5	7
PRDX6	6
PRELID1	9
PRKAR2B	1
PRMT2	9
PRPS2	3
PRSS42	2
PRXL2A	5
PSAP	4
PSMA3	7
PSMA6	9
PSMA7	9
PSMB3	9
PSMB5	9
PSMB7	9
PSMC4	9
PSMD14	9
PSME2	9
PSPH	8
PTCH1	3
PTEN	6
PTGES2	8
PURG	2
PXMP2	9
PXMP4	7
PYGL	7
RAB3B	2
RABGGTB	9
RAC3	3
RAD50	3
RAMP2_VPS25	3
RAN	9
RAP1GAP	2
RARRES2	9
RBP4	5
RCC1	8
RDH16	7
REEP6	9
RENBP	9
RFT1	8
RGN	8
RHOB	1
RNF19B	7
RPL22L1	7
RPL26L1	2
RPL7L1	9
RPN2	7
RPS6KB1	9
RPUSD4	8
RTF1	3
RTN3	1
RTN4	1
RUFY3	3
RYR1	3
SAAL1	3
SAMM50	7
SARAF	1
SARS2	8
SCD	4
SCN1B	2
SDC4	6
SDF4	9
SDHA	6
SDHB	7
SDHC	7
SDR9C7_RDH16	9
SEC11A	9
SEC61A1	6
SELENBP1	7
SELENOK	3
SEMA3B	7
SENP8	8
SEPT5	7
SERBP1	6
SERF2	6
SERHL2	9
SERINC5	7
SERP1	7
SERPINE2	3
SERPINF1	6
SERPINH1	1
SETD7	1
SETX	6
SFPQ	5
SFSWAP	3
SFXN5	8
SGCG	9
SGK2	1
SHC1	6
SHLD2	8
SHMT2	3
SIDT1	8
SIGLEC1	3
SIGMAR1	6
SIPA1L1	3
SKA2	8
SLC12A6	3
SLC16A3	3
SLC1A5	7
SLC25A1	1
SLC25A10	7
SLC25A11	9
SLC25A3	1
SLC25A4	7
SLC25A43	2
SLC25A5	7
SLC25A6	1
SLC2A13	8
SLC2A4	9
SLC30A1	9
SLC4A5	3
SLC6A16	2
SLC7A3	2
SLC8A1	9
SMARCD2	7
SMARCD3	9
SMIM4	8
SMIM7	9
SMYD4	9
SNAI1_RNF114	3
SNAP29	9
SND1	6
SNRPE	3
SNTB1	9
SNX13	9
SNX15	8
SNX21	9
SNX22	3
SORL1	7
SORT1	1
SPACA5	2
SPACA9	8
SPAG7	8
SPARC	4
SPECC1L	6
SPOP	9
SPTBN4	2
SPTSSA	8
SRSF5	6
SS18L2	8
STAC3	2
STARD4	9
STC2	6
STRC	2
STRN	3
SUCLA2	9
SUCLG1	7
SUMF1	7
SUMO2	9
SVIL	5
TAB3	3
TAF9B	9
TALDO1	1
TBC1D2	3
TBC1D20	7
TBC1D22A	9
TBKBP1	2
TBL1X	6
TCAIM	8
TCEA3	1
TCEAL1	9
TCFL5	3
TCN2	9
TCP1	7
TCP11L2	9
TEAD4	3
TECR	7
TEN1	8
TENM4	1
TERF2	3
TFG	7
TGFB3	9
THAP1	8
THBS3	7
THOC7	9
THOP1	8
THRSP	5
THTPA	9
THYN1	8
TIMM13	8
TKT	5
TM7SF2	9
TM9SF4	9
TMBIM4	9
TMEM126A	8
TMEM147	9
TMEM183A	9
TMEM242	9
TMEM25	8
TMEM259	9
TMEM35B	8
TMEM50A	7
TMEM52	9
TMEM54	2
TMPRSS5	2
TMTC1	7
TNFRSF21	9
TNK2	6
TOMM40L	8
TOMM6	9
TOMM70	9
TOR1AIP1	9
TOX	2
TP53RK	2
TPGS1	8
