#Gene	Name/Description	Isoforms	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
TNNI3K	TNNI3K	3	78.03	85.54	76.22
TNNT3	TNNT3	1	5.83	3.92	15.14
TNPO1	TNPO1	2	3243.27	2842.64	2775.35
TNPO2	TNPO2	3	642.19	660.34	476.45
TNPO3	TNPO3	3	1414.24	1416.22	1218.09
TNRC18	TNRC18	2	532.75	536.97	908.16
TNRC6A	TNRC6A	6	1141.08	1256.52	1480.84
TNRC6B	TNRC6B	3	758.96	868.33	963.04
TNRC6C	TNRC6C	3	456.99	479.42	594.46
TNS1	TNS1	13	17055.78	22986.23	18929.05
TNS2	TNS2	5	1587.54	2087.19	2233.1
TNS3	TNS3	2	51.87	38.19	63.37
TNXB	TNXB	3	21011.71	26290.94	18153.05
TOB1	TOB1	1	141.51	152.9	158.17
TOB2	TOB2	1	453.28	536.71	300.51
TOE1	TOE1	2	84.0	61.4	48.43
TOGARAM1	TOGARAM1	4	515.12	514.21	518.97
TOLLIP	TOLLIP	3	784.68	720.09	760.36
TOM1	TOM1	10	512.49	534.75	655.86
TOM1L2	TOM1L2	4	410.99	407.82	398.97
TOMM20	TOMM20	5	1300.02	1549.18	1302.54
TOMM22	TOMM22	2	342.07	249.79	226.92
TOMM34	TOMM34	1	13.12	14.63	24.44
TOMM40	TOMM40	3	421.81	352.79	366.37
TOMM40L	TOMM40L	3	109.61	62.79	48.27
TOMM6	TOMM6	1	788.87	564.48	412.89
TOMM7	TOMM7	2	776.5	716.84	559.23
TOMM70	TOMM70	1	1262.76	1034.94	706.95
TONSL	TONSL	2	95.79	64.73	41.8
TOP1	TOP1	4	450.37	441.48	451.01
TOP2A	TOP2A	1	46.68	52.93	132.18
TOP2B	TOP2B	7	2306.47	2359.74	2609.5
TOP3A	TOP3A	2	222.06	188.27	233.83
TOP3B	TOP3B	2	248.23	287.83	335.21
TOPAZ1	TOPAZ1	1	6.48	11.34	13.87
TOPBP1	TOPBP1	9	877.77	810.83	894.97
TOPORS	TOPORS	3	705.75	762.3	672.93
TOR1A	TOR1A	3	334.8	316.9	236.63
TOR1AIP1	TOR1AIP1	7	1048.1	836.77	585.16
TOR1B	TOR1B	2	163.9	155.56	135.9
TOR2A	TOR2A	2	56.03	62.48	42.4
TOR3A	TOR3A	1	111.98	103.67	87.52
TOX	TOX	1	21.22	59.68	106.82
TOX4	TOX4	4	632.44	674.32	608.93
TP53	TP53	4	250.72	242.48	284.03
TP53BP1	TP53BP1	6	556.29	696.45	754.1
TP53BP2	TP53BP2	6	287.34	342.14	382.63
TP53I11	TP53I11	3	98.8	71.85	49.41
TP53I13	TP53I13	4	104.25	92.96	76.79
TP53INP1	TP53INP1	2	395.87	404.63	418.15
TP53INP2	TP53INP2	2	198.21	77.77	54.29
TP53RK	TP53RK	1	57.04	38.41	28.42
TPBG	TPBG	1	67.31	85.91	121.49
TPCN1	TPCN1	6	812.33	836.19	843.38
TPCN2	TPCN2	7	225.43	275.11	275.35
TPD52	TPD52	5	234.94	278.59	334.56
TPD52L2	TPD52L2	8	924.61	769.78	969.86
TPGS1	TPGS1	1	153.38	110.84	70.59
TPGS2	TPGS2	5	199.73	190.96	179.21
TPH1	TPH1	1	3.13	3.23	43.5
TPH2	TPH2	1	32.28	22.2	47.34
TPI1	TPI1	3	4020.84	2099.71	1865.1
TPK1	TPK1	2	114.52	102.37	83.78
TPM1	TPM1	21	1740.19	1853.58	2503.7
TPM2	TPM2	4	271.38	296.63	341.43
TPM4	TPM4	4	2438.5	2722.43	3966.43
TPMT	TPMT	3	350.23	323.2	331.11
TPP1	TPP1	3	502.46	412.06	296.8
TPP2	TPP2	8	901.0	1006.21	1103.86
TPPP	TPPP	1	261.74	285.68	127.83
TPPP3	TPPP3	1	465.5	388.44	175.9
TPR	TPR	5	3623.69	3887.94	3987.41
TPRA1	TPRA1	4	198.5	171.89	156.25
TPRG1	TPRG1	1	70.47	58.12	42.04
TPRG1L	TPRG1L	2	396.33	438.66	344.72
TPRKB	TPRKB	4	184.41	167.95	165.27
TPST1	TPST1	1	310.24	206.24	162.74
TPST2	TPST2	4	154.66	149.08	157.49
TPT1	TPT1	7	25969.07	29867.54	20130.78
TPX2	TPX2	1	41.21	39.44	23.24
TRA2A	TRA2A	11	639.23	772.54	949.83
TRA2B	TRA2B	5	1380.48	1197.14	1182.78
TRABD	TRABD	10	410.47	355.23	283.51
TRABD2B	TRABD2B	1	136.88	175.74	98.64
TRADD	TRADD	3	143.16	107.8	89.86
TRAF1	TRAF1	5	271.03	299.7	258.71
TRAF3	TRAF3	2	242.77	274.6	488.15
TRAF3IP1	TRAF3IP1	9	251.12	333.69	329.92
TRAF3IP2	TRAF3IP2	4	175.36	204.24	176.77
TRAF3IP3	TRAF3IP3	1	9.68	3.26	15.02
TRAF4	TRAF4	1	34.48	26.55	17.01
TRAF5	TRAF5	2	99.49	58.93	84.73
TRAF6	TRAF6	2	579.08	607.26	748.72
TRAF7	TRAF7	5	712.74	665.09	405.64
TRAFD1	TRAFD1	5	531.98	572.96	514.64
TRAIP	TRAIP	1	11.44	9.33	14.81
TRAK1	TRAK1	15	1404.08	1469.34	1438.86
TRAK2	TRAK2	3	943.88	862.63	601.57
TRAM1	TRAM1	6	479.97	563.82	627.39
TRAM2	TRAM2	3	564.9	526.29	511.68
TRANK1	TRANK1	1	877.23	947.33	1302.44
TRAP1	TRAP1	12	1100.17	809.58	793.08
TRAPPC1	TRAPPC1	2	196.8	191.11	192.62
TRAPPC10	TRAPPC10	4	701.82	681.56	747.73
TRAPPC11	TRAPPC11	8	694.6	685.51	596.37
TRAPPC12	TRAPPC12	4	327.25	355.09	431.63
TRAPPC13	TRAPPC13	4	322.17	290.73	207.37
TRAPPC2	TRAPPC2	3	309.27	324.22	223.46
TRAPPC2L	TRAPPC2L	6	351.87	327.26	341.0
TRAPPC3	TRAPPC3	4	409.73	326.64	334.74
TRAPPC4	TRAPPC4	2	218.48	191.64	173.77
TRAPPC5	TRAPPC5	2	353.37	336.87	321.55
TRAPPC6A	TRAPPC6A	2	35.97	31.99	38.35
TRAPPC6B	TRAPPC6B	3	295.55	324.35	294.07
TRAPPC8	TRAPPC8	2	1232.71	1106.35	988.03
TRARG1	TRARG1	9	5452.74	4575.86	2457.48
TRDMT1	TRDMT1	4	160.92	158.58	130.1
TRDMT1_LOC113241371	TRDMT1_LOC113241371	2	68.51	53.97	53.84
TREM2	TREM2	1	26.17	32.32	46.05
TREML1	TREML1	1	20.71	17.09	11.53
TREML2	TREML2	1	17.49	12.68	14.01
TRERF1	TRERF1	3	93.34	106.5	147.76
TREX1	TREX1	1	31.07	24.7	26.54
TREX2_HAUS7	TREX2_HAUS7	1	79.21	76.54	78.48
TRH	TRH	1	11.1	10.82	12.95
TRHDE	TRHDE	1	16.2	11.73	20.62
TRHR	TRHR	1	34.07	65.61	119.84
TRIAP1	TRIAP1	1	353.72	297.14	274.58
TRIB1	TRIB1	2	245.38	300.88	290.42
TRIB2	TRIB2	1	94.08	90.38	66.19
TRIB3	TRIB3	1	12.19	14.95	24.16
TRIL	TRIL	1	323.62	222.05	190.3
TRIM11	TRIM11	1	68.29	62.09	71.49
TRIM13	TRIM13	3	123.53	121.92	148.58
TRIM14	TRIM14	1	13.3	17.06	20.22
TRIM16	TRIM16	1	248.16	212.33	170.53
TRIM2	TRIM2	2	645.55	524.65	583.52
TRIM21	TRIM21	3	130.64	139.71	142.95
TRIM22	TRIM22	3	127.82	137.46	117.62
TRIM23	TRIM23	4	431.05	414.66	388.01
TRIM24	TRIM24	3	737.43	541.69	389.56
TRIM25	TRIM25	1	431.58	476.5	630.2
TRIM27	TRIM27	3	388.18	375.31	429.65
TRIM28	TRIM28	1	680.37	711.57	654.76
TRIM3	TRIM3	1	219.74	212.7	270.79
TRIM32	TRIM32	1	117.02	147.36	136.9
TRIM33	TRIM33	3	870.68	881.6	852.97
TRIM35	TRIM35	3	152.44	172.64	160.93
TRIM36	TRIM36	1	11.94	8.52	31.28
TRIM37	TRIM37	4	286.72	291.68	265.82
TRIM38	TRIM38	4	335.26	403.28	409.22
TRIM4	TRIM4	2	1178.9	1331.21	1448.94
TRIM41	TRIM41	2	200.55	200.02	174.22
TRIM44	TRIM44	2	812.49	838.64	736.31
TRIM45	TRIM45	1	46.17	48.82	35.84
TRIM47	TRIM47	1	350.35	446.43	686.19
TRIM52	TRIM52	2	96.88	106.24	96.33
TRIM54	TRIM54	1	15.74	13.17	14.15
TRIM56	TRIM56	2	248.62	296.47	388.84
TRIM59	TRIM59	1	35.7	42.44	24.68
TRIM62	TRIM62	1	40.19	34.45	34.72
TRIM63	TRIM63	2	17.76	19.81	37.83
TRIM65	TRIM65	1	84.75	75.72	119.67
TRIM66	TRIM66	2	136.36	134.05	154.15
TRIM68	TRIM68	6	260.89	287.82	347.77
TRIM7	TRIM7	1	18.17	16.78	12.48
TRIM72	TRIM72	2	10.13	15.63	37.34
TRIM8	TRIM8	1	373.16	362.19	358.66
TRIM9	TRIM9	2	166.96	151.95	140.06
TRIO	TRIO	4	2071.97	2183.81	2563.76
TRIOBP	TRIOBP	1	431.12	402.95	490.86
TRIP10	TRIP10	10	723.63	768.84	979.26
TRIP11	TRIP11	3	1268.14	1271.03	1317.23
TRIP12	TRIP12	19	4787.52	4997.6	4025.35
TRIP13	TRIP13	1	17.71	20.97	30.92
TRIP4	TRIP4	7	433.81	459.65	514.67
TRIP6	TRIP6	3	223.48	208.17	142.0
TRIQK	TRIQK	6	151.63	164.44	176.72
TRIR	TRIR	1	259.02	251.28	173.62
TRIT1	TRIT1	6	325.99	340.27	347.91
TRMO	TRMO	5	495.37	372.01	272.2
TRMT1	TRMT1	1	45.06	33.36	10.81
TRMT10A	TRMT10A	5	143.7	106.9	88.87
TRMT10B	TRMT10B	3	132.78	121.94	82.58
TRMT10C	TRMT10C	2	142.56	136.69	143.16
TRMT11	TRMT11	1	43.13	27.15	19.23
TRMT112	TRMT112	2	655.96	859.4	1053.42
